,city_development_index,experience,last_new_job,training_hours,target,gender_Male,gender_Other,relevent_experience_No relevent experience,enrolled_university_Part time course,enrolled_university_no_enrollment,education_level_Phd,education_level_Undergraduate,cdi_bucket_medium_human_development,cdi_bucket_high_human_development,cdi_bucket_very_high_human_development,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Startup Company,company_type_Unknown,major_STEM
0,0.92,21,1,36,1.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
1,0.7759999999999999,15,5,47,0.0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
4,0.767,21,4,8,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
7,0.762,13,5,18,1.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
8,0.92,7,1,46,1.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
11,0.92,5,1,108,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
12,0.913,21,3,23,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
15,0.926,16,5,18,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
19,0.8270000000000001,4,1,132,1.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
20,0.843,11,1,68,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
21,0.926,11,2,50,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
23,0.7759999999999999,0,1,65,0.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
27,0.92,5,2,72,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
29,0.624,18,2,68,1.0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
30,0.92,21,3,40,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
31,0.92,19,5,141,0.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
32,0.92,5,1,24,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
33,0.92,21,5,82,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
34,0.91,12,3,145,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
35,0.92,10,2,206,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
37,0.926,21,4,42,1.0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
40,0.926,16,2,14,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
44,0.624,9,3,7,1.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
45,0.624,5,0,26,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
46,0.624,5,0,87,1.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
47,0.92,19,4,52,1.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1
48,0.5579999999999999,15,5,20,1.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
49,0.923,11,1,21,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
50,0.5579999999999999,4,1,92,1.0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1
51,0.6659999999999999,10,2,102,0.0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
52,0.794,5,5,26,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
55,0.924,21,1,45,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
56,0.754,2,2,52,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
57,0.92,21,2,19,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
59,0.767,21,5,26,1.0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
60,0.855,6,1,90,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
61,0.939,6,3,25,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
63,0.887,21,5,48,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
65,0.865,10,2,142,1.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
66,0.855,4,4,13,0.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
67,0.91,15,5,47,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
68,0.91,14,1,28,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
70,0.6659999999999999,21,4,22,0.0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
71,0.624,0,0,18,1.0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
72,0.8270000000000001,2,1,29,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
73,0.855,5,1,46,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
76,0.893,5,2,65,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
77,0.92,3,1,35,0.0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
78,0.855,9,3,14,0.0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
79,0.92,2,1,4,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
80,0.92,15,5,12,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
81,0.92,21,2,108,0.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
82,0.92,21,1,136,0.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
83,0.92,5,1,27,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
85,0.884,15,1,86,0.0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
86,0.866,0,2,83,0.0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1
88,0.698,11,2,42,0.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
89,0.92,6,1,332,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
92,0.92,3,1,13,1.0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
